reel_id,reel_url,source_profile,date_added,status,remaining_order,video_name,batch_number,scheduled_date,youtube_video_id
971814782225394,https://www.facebook.com/reel/971814782225394/,https://www.facebook.com/profile.php?id=61585812725679&sk=reels_tab,2026-07-27,remaining,764,,,,
961697079825122,https://www.facebook.com/reel/961697079825122/,https://web.facebook.com/TheFabrikRestoration/reels/,2026-08-08,remaining,765,,,,
2475694366190385,https://www.facebook.com/reel/2475694366190385/,https://www.facebook.com/profile.php?id=61585812725679&sk=reels_tab,2026-07-27,remaining,766,,,,
726274905273470,https://www.facebook.com/reel/726274905273470/,https://www.facebook.com/linguoermechanic/reels/,2026-07-27,remaining,767,,,,
1841202576328227,https://www.facebook.com/reel/1841202576328227/,https://www.facebook.com/linguoermechanic/reels/,2026-07-27,remaining,768,,,,
624081875706657,https://www.facebook.com/reel/624081875706657/,https://www.facebook.com/linguoermechanic/reels/,2026-07-27,remaining,769,,,,
1917345128900533,https://www.facebook.com/reel/1917345128900533/,https://www.facebook.com/linguoermechanic/reels/,2026-07-27,remaining,770,,,,
220510097557708,https://www.facebook.com/reel/220510097557708/,https://www.facebook.com/linguoermechanic/reels/,2026-07-27,remaining,771,,,,
2045933716040666,https://www.facebook.com/reel/2045933716040666/,https://www.facebook.com/linguoermechanic/reels/,2026-07-27,remaining,772,,,,
1217417399999379,https://www.facebook.com/reel/1217417399999379/,https://www.facebook.com/linguoermechanic/reels/,2026-07-27,remaining,773,,,,
2094380594826752,https://www.facebook.com/reel/2094380594826752/,https://www.facebook.com/linguoermechanic/reels/,2026-07-27,remaining,774,,,,
4046687882280435,https://www.facebook.com/reel/4046687882280435/,https://web.facebook.com/TheFabrikRestoration/reels/,2026-08-08,remaining,775,,,,
347900270641400,https://www.facebook.com/reel/347900270641400/,https://www.facebook.com/linguoermechanic/reels/,2026-07-27,remaining,776,,,,
1502658904337399,https://www.facebook.com/reel/1502658904337399/,https://www.facebook.com/linguoermechanic/reels/,2026-07-27,remaining,777,,,,
26825314217097372,https://www.facebook.com/reel/26825314217097372/,https://www.facebook.com/linguoermechanic/reels/,2026-07-27,remaining,778,,,,
1317956993080182,https://www.facebook.com/reel/1317956993080182/,https://www.facebook.com/linguoermechanic/reels/,2026-07-27,remaining,779,,,,
816939431269668,https://www.facebook.com/reel/816939431269668/,https://www.facebook.com/profile.php?id=61585812725679&sk=reels_tab,2026-07-27,remaining,780,,,,
942575848748149,https://www.facebook.com/reel/942575848748149/,https://www.facebook.com/profile.php?id=61585812725679&sk=reels_tab,2026-07-27,remaining,781,,,,
1309886007698817,https://www.facebook.com/reel/1309886007698817/,https://www.facebook.com/profile.php?id=61585812725679&sk=reels_tab,2026-07-27,remaining,782,,,,
377296461022238,https://www.facebook.com/reel/377296461022238/,https://www.facebook.com/linguoermechanic/reels/,2026-07-27,remaining,783,,,,
1421474862327530,https://www.facebook.com/reel/1421474862327530/,https://www.facebook.com/linguoermechanic/reels/,2026-07-27,remaining,784,,,,
1391642088398530,https://www.facebook.com/reel/1391642088398530/,https://web.facebook.com/TheFabrikRestoration/reels/,2026-08-08,remaining,785,,,,
1713224969385294,https://www.facebook.com/reel/1713224969385294/,https://www.facebook.com/linguoermechanic/reels/,2026-07-27,remaining,786,,,,
960001900418666,https://www.facebook.com/reel/960001900418666/,https://www.facebook.com/linguoermechanic/reels/,2026-07-27,remaining,787,,,,
1566263835139885,https://www.facebook.com/reel/1566263835139885/,https://www.facebook.com/profile.php?id=61585812725679&sk=reels_tab,2026-07-27,remaining,788,,,,
412822097903070,https://www.facebook.com/reel/412822097903070/,https://www.facebook.com/linguoermechanic/reels/,2026-07-27,remaining,789,,,,
950089039847887,https://www.facebook.com/reel/950089039847887/,https://www.facebook.com/linguoermechanic/reels/,2026-07-27,remaining,790,,,,
706225842070059,https://www.facebook.com/reel/706225842070059/,https://web.facebook.com/TheFabrikRestoration/reels/,2026-08-08,remaining,791,,,,
1561069765418792,https://www.facebook.com/reel/1561069765418792/,https://web.facebook.com/TheFabrikRestoration/reels/,2026-08-08,remaining,792,,,,
684001876517503,https://www.facebook.com/reel/684001876517503/,https://www.facebook.com/linguoermechanic/reels/,2026-07-27,remaining,793,,,,
226409053794787,https://www.facebook.com/reel/226409053794787/,https://www.facebook.com/linguoermechanic/reels/,2026-07-27,remaining,794,,,,
2430660874016425,https://www.facebook.com/reel/2430660874016425/,https://www.facebook.com/profile.php?id=61585812725679&sk=reels_tab,2026-07-27,remaining,795,,,,
732047453199506,https://www.facebook.com/reel/732047453199506/,https://web.facebook.com/TheFabrikRestoration/reels/,2026-08-08,remaining,796,,,,
544253266834325,https://www.facebook.com/reel/544253266834325/,https://web.facebook.com/TheFabrikRestoration/reels/,2026-08-08,remaining,797,,,,
